spotify.genre,artist.id,artist.image
rock,spotify:artist:43sZBwHjahUvgbx1WNIkIz,https://i.scdn.co/image/a8e1ecca8c64abce46d504284424b6e910fc0f40
pop,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw,https://i.scdn.co/image/3677690af58abb70a5c5fd58d69db4d1ad705d4f
pop,spotify:artist:2HPaUgqeutzr3jx5a9WyDV,https://i.scdn.co/image/6d37c77ec148ebe5fee234c5f0c9d77e456624c7
smooth jazz,spotify:artist:6I3M904Y9IwgDjrQ9pANiB,https://i.scdn.co/image/0b4efeba9b97bf02028f5d0ad21af42e6f36ffe6
europop,spotify:artist:5xtqw2B8z8JGfDYi2eAZHI,https://i.scdn.co/image/184f5134b5c6c638ced5250ca3150ab6d0452c6f
pop,spotify:artist:26dSoYclwsYLMAKD3tpOr4,https://i.scdn.co/image/7fa2bde8d2837784a847f8201686b257757a749f
NA,spotify:artist:5lt1FDljqQAA1jBDrsUTvs,https://i.scdn.co/image/d3744b67f2f86177445ffb1f6a875d7fc0daa9f4
rock,spotify:artist:694QW15WkebjcrWgQHzRYF,https://i.scdn.co/image/c2e73c0db6a3b6ef190c602388bcd040686177a2
r&b,spotify:artist:1J2VVASYAamtQ3Bt8wGgA6,https://i.scdn.co/image/064e9e33a5134558066218bcea5966f8329cd033
country,spotify:artist:2d3VHzlOEwXvmBdS4pzOPL,https://i.scdn.co/image/ae0dcfa7e539dc6f1438e758c0288191f0c421e5
post-grunge,spotify:artist:2iEvnFsWxR0Syqu2JNopAd,https://i.scdn.co/image/8f037146240aad64f589b1448fcd703ba515cc24
hip hop,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,https://i.scdn.co/image/f58a98bc92cd2dc7020fc45a45eebb29380048ab
r&b,spotify:artist:7Aq8lpLMSt1Zxu56pe9bmp,https://i.scdn.co/image/2f5a91e36347f2fdbce10211ccbb057a09ec0285
rock,spotify:artist:01WjpKiWVNurV5hjIadB8C,https://i.scdn.co/image/76cd594ee16164d4125b0e20ff10436b05e02abd
latin,spotify:artist:7slfeZO9LsJbWgpkIoXBUJ,https://i.scdn.co/image/784802b5f08cee772805598547334773cfffa140
hip hop,spotify:artist:3LIJJJkO7R5RasRwt7xIn5,https://i.scdn.co/image/99443414f1603cb47d783e1974148f3cb1de6f62
dance pop,spotify:artist:7y1GT7SdgGiFLWoktv2TSw,https://i.scdn.co/image/45bed30f2b349df8c7470bf169238ffe3d209f8f
pop,spotify:artist:26dSoYclwsYLMAKD3tpOr4,https://i.scdn.co/image/7fa2bde8d2837784a847f8201686b257757a749f
rock,spotify:artist:6TcnmlCSxihzWOQJ8k0rNS,https://i.scdn.co/image/028502035327354b00816c2f019274a1b8286206
